C_1,C_2,h,r_0,Phi,RB,,
0.2,-0.3,0.16,0.34,0.39,"0.5095
",,
0.2,-0.2,0.16,0.36,0.43,"0.5541
",,
0.2,-0.1,0.16,0.38,0.46,"0.6172
",,
0.2,0,0.16,0.35,0.4,"0.2816
",,
0.2,0.1,0.16,0.33,0.34,"0.1559
",,
0.2,0.2,0.16,0.3,0.3,"0.1212
",,
0.2,0.3,0.16,0.28,0.27,"0.1205
",,
0.3,-0.3,0.16,0.33,0.38,"0.5340
",,
0.3,-0.2,0.16,0.35,0.42,"0.6034
",,
0.3,-0.1,0.16,0.35,0.41,"0.5884
",,
0.3,0,0.16,0.33,0.35,"0.2873
",,
0.3,0.1,0.16,0.3,0.3,"0.1839
",,
0.3,0.2,0.16,0.28,0.27,"0.1586
",,
0.3,0.3,0.16,0.27,0.24,0.16,,
-0.3,-0.3,0.18,0.34,0.39,"0.2231
",,
-0.3,-0.2,0.18,0.37,0.45,"0.1093
",,
-0.3,-0.1,0.18,0.39,0.51,"0
",,
-0.3,0,0.18,0.41,0.54,"0
",,
-0.3,0.1,0.18,0.39,0.51,"0
",,
-0.3,0.2,0.18,0.37,0.47,"0
",,
-0.3,0.3,0.18,0.35,0.42,"0
",,
-0.2,-0.3,0.18,0.34,0.39,"0.2633
",,
-0.2,-0.2,0.18,0.37,0.45,"0.1817
",,
-0.2,-0.1,0.18,0.4,0.52,"0.0289
",,
-0.2,0,0.18,0.43,0.59,"0
",,
-0.2,0.1,0.18,0.42,0.58,"0
",,
-0.2,0.2,0.18,0.4,0.52,"0
",,
-0.2,0.3,0.18,0.37,0.47,"0
",,
-0.1,-0.3,0.18,0.34,0.38,"0.3161
",,
-0.1,-0.2,0.18,0.37,0.44,"0.2701
",,
-0.1,-0.1,0.18,0.4,0.52,"0.1913
",,
-0.1,0,0.18,0.44,0.62,"0
",,
-0.1,0.1,0.18,0.41,0.53,"0
",,
-0.1,0.2,0.18,0.37,0.45,"0
",,
-0.1,0.3,0.18,0.34,0.39,"0
",,
0,-0.3,0.18,0.34,0.38,"0.3770
",,
0,-0.2,0.18,0.37,0.43,"0.3679
",,
0,-0.1,0.18,0.4,0.5,"0.3620
",,
0,0,0.18,0.41,0.53,"0.1809
",,
0,0.1,0.18,0.37,0.44,"0
",,
0,0.2,0.18,0.34,0.38,"0
",,
0,0.3,0.18,0.32,0.33,"0
",,
0.1,-0.3,0.18,0.34,0.37,"0.4351
",,
0.1,-0.2,0.18,0.36,0.42,"0.4507
",,
0.1,-0.1,0.18,0.39,0.47,"0.4751
",,
0.1,0,0.18,0.37,0.44,"0.2010
",,
0.1,0.1,0.18,0.34,0.37,"0.0464
",,
0.1,0.2,0.18,0.32,0.32,"0.0095
",,
0.1,0.3,0.18,0.29,0.28,"0
",,
0.2,-0.3,0.18,0.33,0.36,"0.4726
",,
0.2,-0.2,0.18,0.35,0.41,"0.5136
",,
0.2,-0.1,0.18,0.37,0.43,"0.4798
",,
0.2,0,0.18,0.34,0.38,"0.1785
",,
0.2,0.1,0.18,0.32,0.32,"0.0657
",,
0.2,0.2,0.18,0.29,0.28,"0.0469
",,
0.2,0.3,0.18,0.27,0.25,"0.0441
",,
0.3,-0.3,0.18,0.32,0.36,"0.4867
",,
0.3,-0.2,0.18,0.34,0.39,"0.5462
",,
0.3,-0.1,0.18,0.34,0.38,"0.4354
",,
0.3,0,0.18,0.32,0.33,"0.1794
",,
0.3,0.1,0.18,0.29,0.28,"0.1020
",,
0.3,0.2,0.18,0.27,0.25,"0.0772
",,
0.3,0.3,0.18,0.26,0.22,0.07,,
-0.3,-0.3,0.2,0.33,0.38,"0.2313
",,
-0.3,-0.2,0.2,0.36,0.42,"0.1287
",,
